[2026-03-15T02:47:58.204Z] [info] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold
[2026-03-15T02:47:58.327Z] [log] [HMR] connected
[2026-03-15T03:05:01.501Z] [error] WebSocket connection to 'ws://127.0.0.1:3000/_next/webpack-hmr?id=4-1LCtvJSv3z8gwVfSfpZ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-03-15T03:05:02.502Z] [error] WebSocket connection to 'ws://127.0.0.1:3000/_next/webpack-hmr?id=4-1LCtvJSv3z8gwVfSfpZ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-03-15T03:05:03.502Z] [error] WebSocket connection to 'ws://127.0.0.1:3000/_next/webpack-hmr?id=4-1LCtvJSv3z8gwVfSfpZ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-03-15T03:05:04.505Z] [error] WebSocket connection to 'ws://127.0.0.1:3000/_next/webpack-hmr?id=4-1LCtvJSv3z8gwVfSfpZ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-03-15T03:05:05.508Z] [error] WebSocket connection to 'ws://127.0.0.1:3000/_next/webpack-hmr?id=4-1LCtvJSv3z8gwVfSfpZ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-03-15T03:05:10.512Z] [error] WebSocket connection to 'ws://127.0.0.1:3000/_next/webpack-hmr?id=4-1LCtvJSv3z8gwVfSfpZ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-03-15T03:05:15.518Z] [error] WebSocket connection to 'ws://127.0.0.1:3000/_next/webpack-hmr?id=4-1LCtvJSv3z8gwVfSfpZ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-03-15T03:05:20.532Z] [error] WebSocket connection to 'ws://127.0.0.1:3000/_next/webpack-hmr?id=4-1LCtvJSv3z8gwVfSfpZ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-03-15T03:05:25.564Z] [error] WebSocket connection to 'ws://127.0.0.1:3000/_next/webpack-hmr?id=4-1LCtvJSv3z8gwVfSfpZ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-03-15T03:05:30.583Z] [error] WebSocket connection to 'ws://127.0.0.1:3000/_next/webpack-hmr?id=4-1LCtvJSv3z8gwVfSfpZ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-03-15T03:05:35.616Z] [error] WebSocket connection to 'ws://127.0.0.1:3000/_next/webpack-hmr?id=4-1LCtvJSv3z8gwVfSfpZ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
[2026-03-15T03:05:40.880Z] [error] WebSocket connection to 'ws://127.0.0.1:3000/_next/webpack-hmr?id=4-1LCtvJSv3z8gwVfSfpZ' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED
